인스턴스 타입,플랫폼,개수,리전,온디멘드 시간당 비용,Standard RI(1년) 할인율,Converterble RI(1년) 할인율,Standard RI(3년) 할인율,Converterble RI(3년) 할인율,Instance Savings Plan(1년) 할인율,Compute Savings Plan(1년) 할인율,Instance Savings Plan(1년) 할인율,Compute Savings Plan(3년) 할인율
t2.medium,Red Hat Enterprise Linux,2,ap-northeast-1
t3.medium,Red Hat Enterprise Linux,3,ap-northeast-1
t2.micro,Red Hat Enterprise Linux,4,ap-northeast-1
t2.small,Red Hat Enterprise Linux,1,ap-northeast-1
m4.large,Red Hat Enterprise Linux,2,ap-northeast-1
c4.4xlarge,Red Hat Enterprise Linux,4,ap-northeast-1
c4.2xlarge,Red Hat Enterprise Linux,1,ap-northeast-1
m4.xlarge,Red Hat Enterprise Linux,2,ap-northeast-1
t3.medium,Linux/UNIX,15,ap-northeast-1
c5a.xlarge,Linux/UNIX,1,ap-northeast-1
m5.xlarge,Windows,6,ap-northeast-1
m6i.large,Linux/UNIX,3,ap-northeast-1
t2.micro,Linux/UNIX,4,ap-northeast-1
c4.8xlarge,Windows,2,ap-northeast-1
c6i.2xlarge,Windows,8,ap-northeast-1
t2.xlarge,Windows,1,ap-northeast-1
t2.large,Red Hat Enterprise Linux,1,ap-northeast-1
c5.9xlarge,Windows,1,ap-northeast-1
t2.large,Windows,1,ap-northeast-1
t3.micro,Linux/UNIX,3,ap-northeast-1
t3a.medium,Linux/UNIX,1,ap-northeast-1
t3.medium,Windows,1,ap-northeast-1
t4g.micro,Linux/UNIX,1,ap-northeast-1
t3.small,Linux/UNIX,2,ap-northeast-1
m5.4xlarge,Windows,2,ap-northeast-1
r6i.2xlarge,Linux/UNIX,1,ap-northeast-1
m6i.xlarge,Windows,1,ap-northeast-1
c6i.2xlarge,Linux/UNIX,27,ap-northeast-1
c6i.large,Linux/UNIX,1,ap-northeast-1
c6i.xlarge,Windows,12,ap-northeast-1
t3.large,Linux/UNIX,1,ap-northeast-1
